,Unnamed: 0,date,open,high,low,close,volume
36,36,2024-06-24 09:51:00+05:30,825.05,825.35,824.5,824.95,48775
37,37,2024-06-24 09:52:00+05:30,824.95,825.25,824.7,825.2,17385
38,38,2024-06-24 09:53:00+05:30,825.15,825.9,825.15,825.7,38415
39,39,2024-06-24 09:54:00+05:30,825.8,825.8,825.0,825.35,30552
40,40,2024-06-24 09:55:00+05:30,825.5,826.0,825.3,825.85,33442
41,41,2024-06-24 09:56:00+05:30,825.85,826.0,825.3,825.7,48487
42,42,2024-06-24 09:57:00+05:30,825.7,825.95,825.4,825.4,36853
43,43,2024-06-24 09:58:00+05:30,825.35,825.75,825.0,825.2,29449
44,44,2024-06-24 09:59:00+05:30,825.3,825.4,824.7,824.95,55407
45,45,2024-06-24 10:00:00+05:30,824.8,824.95,824.35,824.95,29132
46,46,2024-06-24 10:01:00+05:30,824.9,825.55,824.5,825.45,26311
47,47,2024-06-24 10:02:00+05:30,825.45,826.4,825.25,825.35,46873
48,48,2024-06-24 10:03:00+05:30,825.4,825.95,825.3,825.65,21807
49,49,2024-06-24 10:04:00+05:30,825.7,826.75,825.3,826.6,40050
50,50,2024-06-24 10:05:00+05:30,826.6,827.2,826.35,826.65,59200
51,51,2024-06-24 10:06:00+05:30,826.7,827.3,826.25,826.65,47774
52,52,2024-06-24 10:07:00+05:30,826.65,827.2,826.45,826.6,38206
53,53,2024-06-24 10:08:00+05:30,826.6,827.0,826.45,826.8,14937
54,54,2024-06-24 10:09:00+05:30,826.75,828.0,826.7,827.5,89288
55,55,2024-06-24 10:10:00+05:30,827.5,827.5,826.3,826.6,44658
56,56,2024-06-24 10:11:00+05:30,826.6,827.0,826.2,826.4,19488
57,57,2024-06-24 10:12:00+05:30,826.4,826.85,826.15,826.8,13286
58,58,2024-06-24 10:13:00+05:30,826.75,827.25,826.6,827.15,30661
59,59,2024-06-24 10:14:00+05:30,827.25,827.9,826.95,827.8,24220
60,60,2024-06-24 10:15:00+05:30,827.85,828.5,827.45,828.4,67301
61,61,2024-06-24 10:16:00+05:30,828.4,828.5,827.3,827.8,47066
62,62,2024-06-24 10:17:00+05:30,827.75,828.2,827.45,828.2,13727
63,63,2024-06-24 10:18:00+05:30,828.2,828.2,827.1,827.35,25736
64,64,2024-06-24 10:19:00+05:30,827.1,827.7,827.1,827.35,16034
65,65,2024-06-24 10:20:00+05:30,827.3,827.35,826.5,826.55,34001
66,66,2024-06-24 10:21:00+05:30,826.5,826.95,826.2,826.95,37528
67,67,2024-06-24 10:22:00+05:30,826.9,827.75,826.9,827.65,28017
68,68,2024-06-24 10:23:00+05:30,827.65,827.9,827.5,827.85,17169
69,69,2024-06-24 10:24:00+05:30,827.85,828.2,827.7,828.0,35174
70,70,2024-06-24 10:25:00+05:30,828.1,828.45,828.0,828.4,30267
71,71,2024-06-24 10:26:00+05:30,828.35,828.5,828.35,828.45,23337
72,72,2024-06-24 10:27:00+05:30,828.5,828.5,828.05,828.15,16637
73,73,2024-06-24 10:28:00+05:30,828.3,828.45,828.0,828.4,18054
74,74,2024-06-24 10:29:00+05:30,828.3,829.0,828.1,829.0,54940
75,75,2024-06-24 10:30:00+05:30,828.9,829.0,828.8,829.0,20096
76,76,2024-06-24 10:31:00+05:30,828.9,829.8,828.9,829.65,52685
77,77,2024-06-24 10:32:00+05:30,829.65,830.6,829.55,830.05,92030
78,78,2024-06-24 10:33:00+05:30,830.05,830.2,829.5,829.5,18280
79,79,2024-06-24 10:34:00+05:30,829.5,830.3,829.5,829.5,61502
80,80,2024-06-24 10:35:00+05:30,829.9,830.3,829.6,829.75,41376
81,81,2024-06-24 10:36:00+05:30,829.75,830.2,828.7,828.85,31512
82,82,2024-06-24 10:37:00+05:30,828.8,829.65,828.55,829.45,22939
